Epoch,Train Loss,Validation Loss,MAE,RMSE,R2,SMAPE,Spearman Corr,Max Error,Learning Rate
1,0.7548035485618855,0.9614515938601651,0.777960041984097,0.9805363832301867,-0.04537034034729004,134.00020599365234,0.4645832726884532,2.5897233,8.399999999999998e-05
2,0.6024565276016126,0.5857001220786965,0.6074417325166556,0.7653104777269584,0.363178014755249,121.98201417922974,0.5925659577972789,2.1890364,0.00013799999999999997
3,0.5529511727302711,0.6738011538327395,0.6504231386132293,0.8208539187509108,0.2673872113227844,127.81518697738647,0.5917807008061954,2.207296,0.00019199999999999995
4,0.5474401869444109,0.5801431349345616,0.5999079978073036,0.7616712749838898,0.3692200183868408,124.05316829681396,0.6505199365654025,2.6549947,0.00024599999999999996
5,0.5493856473988419,0.49509626391169786,0.5441353915811895,0.7036307746650079,0.4616900682449341,104.86376285552979,0.6580099639356959,2.2488756,0.0003
6,0.5224503813603838,0.506220121043069,0.5495799854561523,0.7114914699011679,0.4495953321456909,108.6065411567688,0.6557494627633224,2.2587385,0.00029963582551384367
7,0.5103272549668991,0.5286671252041073,0.5702386079253731,0.7270949947297606,0.4251890182495117,113.72754573822021,0.6598942285330989,2.403465,0.0002985450762768647
8,0.5034398770881929,0.5606816802706037,0.5905336446814484,0.7487867989719524,0.39038020372390747,114.56210613250732,0.6482610487754291,2.358862,0.0002967330663097039
9,0.4826454124878581,0.5543484592175746,0.580384887443794,0.744545804870054,0.397266149520874,119.79987621307373,0.6552802067401791,2.3263943,0.0002942086235427786
10,0.4816096279806939,0.5281418243607322,0.5645895849217425,0.726733676669561,0.42576026916503906,111.23361587524414,0.6464341542458001,2.2682867,0.00029098404680749326
11,0.4753220538669046,0.49018163746529886,0.5425773099228576,0.7001297212605416,0.4670336842536926,115.7326340675354,0.6595907121831222,2.3406467,0.00028707504591756876
12,0.48028539973346906,0.5265764787956908,0.55982965361941,0.7256558996457314,0.4274621605873108,114.68844413757324,0.6444638777006837,2.3122067,0.0002825006651324095
13,0.45035654695706623,0.5070132474322896,0.5569921836748228,0.7120486166676954,0.44873297214508057,118.83231401443481,0.6564626784129949,2.3345437,0.0002772831903753856
14,0.47647434751105494,0.536199212205279,0.5682933847982805,0.7322562522896192,0.4169995188713074,114.65893983840942,0.64411437209474,2.4039633,0.0002714480406590546
15,0.46194665158488485,0.5017502019693564,0.5492510363295838,0.7083432750357669,0.4544554352760315,116.81833267211914,0.6559754598272715,2.2556405,0.00026502364424628715
16,0.4540469153128916,0.5117223818223555,0.5599972379076612,0.7153477385595933,0.4436127543449402,115.76215028762817,0.6495086188133397,2.370818,0.0002580413001506283
17,0.4435358562074299,0.5227261311405308,0.5650137280369852,0.7229980071221547,0.4316486120223999,118.33401918411255,0.656026735936764,2.3226993,0.0002505350256506493
18,0.43751690112275166,0.5657073444062537,0.5908907544481885,0.7521351919876094,0.384915828704834,118.86328458786011,0.6485492141410732,2.2149208,0.00024254139056118586
19,0.4387614094988575,0.5107992535109048,0.5519955386172284,0.71470220835915,0.44461649656295776,110.1335883140564,0.6571665305991948,2.31383,0.0002340993390688766
20,0.42419616820783435,0.4947115667573698,0.5447744755954533,0.7033573556666283,0.4621083736419678,110.18961668014526,0.6564796855201185,2.3705225,0.00022524999999999997
21,0.4220653305854546,0.49585358860728507,0.5428838352580647,0.7041687213184694,0.46086668968200684,112.92235851287842,0.6579660557250936,2.641284,0.00021603648644496706
22,0.4134057819287157,0.5037147271764147,0.5513122231095702,0.7097286240352427,0.4523193836212158,113.11764717102051,0.6600707967014379,2.3552434,0.00020650368571567882
23,0.39721316115523797,0.5241475751766792,0.5588634057359381,0.7239803732665308,0.430103063583374,112.63737678527832,0.6500731655939994,2.4892914,0.00019669804065905463
24,0.38977898112636233,0.49768622930233297,0.5483046369893211,0.7054688033118929,0.45887404680252075,109.7400426864624,0.6612439049107813,2.4548814,0.00018666732339215033
25,0.38715542393248903,0.5328064827473609,0.5659219678941664,0.7299359402388651,0.4206883907318115,111.00021600723267,0.6490785364639078,2.8699033,0.0001764604025612061
26,0.3585237556113631,0.5895902995224838,0.5836415047828968,0.7678478382247781,0.3589482307434082,112.18805313110352,0.6509861351310856,3.9192662,0.0001661270052585142
27,0.35218767136433515,0.5796534461634499,0.586626351927663,0.7613497590003521,0.3697524666786194,117.6165223121643,0.6216681118461266,2.9607873,0.00015571747475702394
28,0.32793552265732534,0.5934830439614726,0.5922124418583545,0.7703785096223466,0.3547157645225525,105.42668104171753,0.6527648110086827,2.4853432,0.00014528252524297617
29,0.3053011043175123,0.5686521462686769,0.5812693608986153,0.7540902828260201,0.38171398639678955,110.37188768386841,0.6497675472420186,3.0439415,0.00013487299474148584
30,0.27436740991672753,0.6028931357703367,0.6024205857580834,0.7764619392515598,0.34448426961898804,109.94746685028076,0.6420866408281799,2.5933506,0.00012453959743879395
31,0.2552089859229542,0.6041978815754692,0.6015502473155221,0.7773016659817338,0.3430657386779785,112.03527450561523,0.6339746966094529,2.6848602,0.00011433267660784968
32,0.2211230456600074,0.6314947660807725,0.618185786493532,0.7946664485863121,0.3133862018585205,112.68281936645508,0.6108035641545992,2.7208345,0.00010430195934094539
33,0.1960634275469377,0.6182580359034486,0.6121924668877989,0.7862938677004839,0.32777833938598633,112.99751996994019,0.6097385498058877,2.694198,9.449631428432117e-05
34,0.16768571373758148,0.6180326688420642,0.6142693431822808,0.7861505329503466,0.3280233144760132,108.55386257171631,0.6239390383748505,2.763941,8.496351355503292e-05
35,0.15451399490449877,0.6011353156068823,0.6085628526551383,0.7753291699425771,0.3463956117630005,110.0391149520874,0.6150245115727644,2.7554898,7.575000000000004e-05
36,0.13540530473844412,0.6258702019413749,0.6196753906679677,0.7911195889607098,0.31950175762176514,112.42588758468628,0.6026814284110042,2.819078,6.690066093112337e-05
37,0.12221771459842487,0.6766875749105935,0.6413441498200972,0.8226102160650798,0.2642488479614258,109.73392724990845,0.6027352524017136,2.8569613,5.845860943881409e-05
38,0.1119024348164102,0.6278301097534515,0.6221222920732183,0.7923573105976015,0.31737083196640015,110.70781946182251,0.604353284368578,2.8116448,5.04649743493507e-05
39,0.10001289050384096,0.643061372604999,0.6240885091351939,0.8019110751660684,0.30081015825271606,109.70104932785034,0.6039629489661316,2.8677855,4.2958699849371636e-05
